fdcNumber,date-eng,date-ger,date-fre,date-fin,date-swe,RecordType,BT,seeAlso,prefLabel-eng,includingNote-eng,scopeNote-eng,fdcNumber-fi,prefLabel-fin,includingNote-fin,scopeNote-fin,fdcNumber-de,prefLabel-ger,includingNote-ger,scopeNote-ger,dcoNumber-fre,prefLabel-fre,includingNote-fre,scopeNote-fre,prefLabel-swe,includingNote-swe,scopeNote-swe
232.411,1954/1983,1992,1960,2016,1966,,232.41,,Sources of stock. Plant acquisition and trade. Kind of stock,,,232.411,Taimien alkuperä. Taimien hankinta ja kauppa. Taimityypit,,,232.411 ,Beschaffung des Pflanzgutes: Pflanzenbezug und -handel. Beschaffenheit des Pflanzgutes,,,232.411,"Provenance des plants: acquisition, achat et vente des plants. Catégories de plants",,,Anskaffningskällor för plantmaterialet m.m. Plantmaterialets beskaffenhet,,
232.411.1,1954/1983,1992,1960,2016,1966,,232.411,,Sources of stock: plant acquisition and trade,(including certification of planting stock and legislation for this purpose),,232.411.1,Taimien alkuperä. Taimien hankinta ja kauppa,(ml. taimien sertifiointi ja lainsäädäntö),,232.411.1 ,Beschaffung des Pflanzgutes: Pflanzenbezug und -handel ,(einschl. Pflanzgutanerkennung und gesetzliche Bestimmungen),,232.411.1,"Provenance des plants: acquisition, achat et vente des plants ",(y compris certificat d'origine des plants et législation de cette question),,Anskaffningskällor. Plantförvarv och handel med plantmaterialet. Härkomst och härkomstbevis ,(inberäknat lagstiftning),
232.411.2,1954,1992,,2016,1966,,232.411,,Age and type,,,232.411.2,Taimien ikä ja tyyppi,,,232.411.2 ,Alter und Zahl der im Saatbeet und im Verschulbeet verbrachten Jahre,,,232.411.2,Age et catégorie,,,Ålder och typ,,
232.411.3,1954,1992,,2016,1966,,232.411,,Grading and size,,,232.411.3,Taimien luokittelu ja koko,,,232.411.3 ,Sortierung nach Größe u.a.,,,232.411.3,Qualification et calibrage,,,Sortering och storlek,,
232.411.4,1954/2006,1992/2006,2007,2016,1966,GFDC06,232.411,,Vegetatively propagated stock; clonal forestry,,,232.411.4,Kasvullisesti lisätyt taimet; klonaalinen metsätalous,,,232.411.4 ,Vegetativ vermehrtes Pflanzgut ; Klonforstwirtschaft,,,232.411.4 ,Sujets multipliés par voie végétative,,,Vegetativt producerade plantor,,
232.411.5,1954,1992,,2016,1966,,232.411,,Stock produced by different nursery treatments,,,232.411.5,Eri taimitarhakäsittelyillä tuotetut taimet,,,232.411.5 ,Auswirkung verschiedener Anzuchtverfahren auf das Pflanzgut,,,232.411.5,Plants provenant de différents traitements en pépinière,,,Plantor producerade genom olika plantskolemetoder,,
232.411.6,1954,1992,,2016,1966,,232.411,,Use of natural forest (wilding) stock,,,232.411.6,Luonnontaimien käyttö,,,232.411.6 ,Verwendung von Wildlingen,,,232.411.6,Utilisation de semis naturels de forêt (sauvageons),,,Användning av självsådda plantor,,
232.411.9,1954,1992,,2016,1966,,232.411,,Miscellaneous,,,232.411.9,Sekalaista,,,232.411.9 ,Verschiedenes,,,232.411.9,Divers,,,Övrigt,,
232.412,1954,1992,,2016,1966,,232.41,,Handling and treatment of stock,,,232.412,Taimien käsittely,,,232.412 ,Behandlung des Pflanzgutes,,,232.412,Manipulation et traitement des plants,,,Behandling av plantor,,
232.412.1,1954,1992,,2016,1966,,232.412,,Lifting,,,232.412.1,Nostaminen,,,232.412.1 ,Ausheben,,,232.412.1,Arrachage,,,Upptagning,,
232.412.2,1954,1992,,2016,1966,,232.412,,"Root pruning, shoot pruning, stumping",,,232.412.2,"Juurien typistäminen, leikkaaminen",,,232.412.2 ,Beschneiden von Wurzel und Sproß,,,232.412.2,"Habillage des racines, recépage des tiges, barbatelles",,,"Beskärning av rot, av krona eller bada",,
232.412.3,1954,1992,,2016,1966,,232.412,,Heeling in ,"(including early lifting, burying etc.)",,232.412.3,Siirreistutus,"(ml. varhainen nostaminen, hautaaminen jne.)",,232.412.3 ,Einschlagen ,(einschl. Bedecken usw.),,232.412.3,Mise en jauge ,"(y compris extraction prématurée, mise à l'abri sous terre, etc.)",,Förvaring,"(inberäknat tidig upptagning, jordslagning m.m.)",
232.412.4,1954,1992,,2016,1966,,232.412,,Exposure of plants before planting ,"(including transport, methods of packing, etc.)",,232.412.4,Kasvien altistuminen ennen istutusta,"(ml. kuljetus, pakkaustavat, jne.)",,232.412.4 ,Gefährdung des Pflanzgutes durch Bloßlegung usw. vor dem Pflanzen ,(einschl. Methoden der Verpackung und des Transports),,232.412.4,Séjour hors terre des plants avant plantation ,"(y compris transport, emballage, etc.)",,Exponering av plantor före plantering ,"(inberäknat transport, förpackningsmetoder m.m.)",
232.412.5,1954,1992,,2016,1966,,232.412,,Puddling,,,232.412.5,Liejuttaminen,,,232.412.5 ,Einschlämmen,,,232.412.5,Pralinage,,,Slamning,,
232.412.6,1954,1992,,2016,1966,,232.412,,Root and plant dressings (protective),,,232.412.6,Juurien ja kasvien suojakäsittely,,,232.412.6 ,Behandlung mit Schutzmitteln,,,232.412.6,Revêtements (de protection) des racines et des parties aériennes,,,Behandling med skyddsmedel,"(mot avdunstning, svampar, insekter m.m.)",
232.412.7,1983,1992,,2016,2016,,232.412,,Cold storage,,,232.412.7,Kylmävarastointi,,,232.412.7 ,Kaltlagerung,,,232.412.7,Stockage au froid,,,Kylförvaring,,
232.412.9,1954,1992,,2016,1966,,232.412,,Miscellaneous,,,232.412.9,Sekalaista,,,232.412.9 ,Verschiedenes,,,232.412.9,Divers,,,Övrigt,,
232.42,1954,1992,,2016,1966,,232.4,,Methods of planting. Fertilizers etc.,,,232.42,Istutusmenetelmät. Lannoitteet jne.,,,232.42 ,Pflanzmethoden. Düngung usw.,,,232.42,"Méthodes de plantation. Engrais, etc.",,,Planteringsmetoder. Gödsel m.m.,,
232.421,1954,1992,,2016,1966,,232.42,,"Notching, pitting, mounding etc.",,,232.421,"Taskutus, kuoppaistutus, mätästys",,,232.421 ,"Spalt-, Loch-, Hügelpflanzung usw.",,,232.421,"Plantation en fente, par potets, sur buttes, etc.",,,"Plantering i skåra, i grop och på uppkastad jord m.m.",,
232.422,1954,1992,,2016,1966,,232.42,,"Position of plant on turf, furrow etc. ",(including slant planting),,232.422,Taimen sijainti mättäässä tai vaossa,(ml. 'viistoistutus'),,232.422 ,"Stellung der Pflanze auf der Plagge, in der Furche usw. ",(einschl. Schrägpflanzung),,232.422,"Position des plantes sur buttes, en sillon, etc. ",(y compris position inclinée),,"Plats för plantan - på omvänd torva, i plogfara o.d. ",(inberäknat snedplantering),
232.423,1954,1992,,2016,1966,,232.42,,Depth of planting,,,232.423,Istutussyvyys,,,232.423 ,Pflanztiefe,,,232.423,Profondeur de plantation,,,Planteringsdjup,,
232.424,1954,1992,,2016,1966,,232.42,,Care in planting ,"(including effect, if any, of careless planting methods)",,232.424,Istutuksen huolellisuus,(ml.  huolimattoman istutuksen vaikutukset),,232.424 ,Sorgfalt beim Pflanzen ,(einschl. nachteiliger Wirkungen mangelnder Sorgfalt beim Pflanzen),,232.424,Soins à apporter à la mise en place des plants ,"(y compris effets, s'il y en a, de méthodes défectueuses)",,Försiktighet vid plantering ,(inberäknat även efterverkningar av ovarsam plantering),
232.425,1954,1992,,2016,1966,,232.42,,"Manuring, mulching and soil inoculation at time of planting",,,232.425,"Lannoitus, kattaminen ja maan ymppäys istutushetkellä",,,232.425 ,"Düngung, Bodenbedeckung (Mulchen) und Bodenimpfung bei der Pflanzung",,,232.425,"Fumure, paillage et inoculation du sol au moment de la plantation",,,"Gödsling, täckning av marken (mulching) ympning av marken i samband med planteringen",,
232.425.1,1954,1992,,2016,1966,,232.425,,Inorganic fertilizers ,(including trace elements),,232.425.1,Epäorgaaniset lannoitteet,(ml. ravinteet),,232.425.1 ,Anorganische Düngemittel ,(einschl. Spurenelemente),,232.425.1,Engrais minéraux ,(y compris oligo-éléments),,Oorganisk gödsel ,(inberäknat spårelement),
232.425.2,1954/1988,1992,1960,2016,1966,,232.425,,Organic manures ,"(e.g. sewage sludge, composts, green manuring, etc.)",,232.425.2,Orgaaniset lannoitteet,"(esim. jäteliete, komposti, viherkate)",,232.425.2 ,"Organische Düngemittel, ","z.B. Klärschlamm, Kompost, Gründüngung usw.",,232.425.2,Engrais organiques ,"(par ex. boues résiduaires, composts, engrais verts, etc.)",,Organisk gödsel,"(kompost, gröngödsling m.m.)",
232.425.3,1954,1992,,2016,1966,,232.425,,Mulching,,,232.425.3,Maan kattaminen,,,232.425.3 ,"Bodenbedeckung meist mit organischem Material, gegen  Feuchtigkeitsverlust usw., Mulchen",,,232.425.3,Paillage et recouvrement à litières forestières,,,Täckning av marken (mulching),,
232.425.4,1954,1992,,2016,1966,,232.425,,Soil inoculation,,,232.425.4,Maan ymppäys,,,232.425.4 ,Bodenimpfung,,,232.425.4,Inoculation du sol,,,Ympning av marken,,
232.425.9,1954,1992,,2016,1966,,232.425,,Miscellaneous,,,232.425.9,Sekalaista,,,232.425.9 ,Verschiedenes,,,232.425.9,Divers,,,Övrigt,,
232.427,1954,1992,,2016,1966,,232.42,,Planting tools and mechanical methods of planting,,,232.427,Istutusvälineet ja mekaaniset istutustavat,,,232.427 ,"Pflanzgeräte, Werkzeuge, Pflanzmaschinen",,,232.427,Matériel de plantation et procédés mécaniques,,,Planteringsredskap och mekaniserade planteringsmetoder,,
232.429,1954,1992,,2016,1966,,232.42,,"Miscellaneous methods of planting,","(including ball planting, bunch planting etc.)",,232.429,Sekalaiset istutustavat,,,232.429 ,Besondere Pflanzmethoden ,"(einschl. Ballenpflanzung, Büschelpflanzung usw.)",,232.429,Méthodes diverses de plantation ,"(y compris plantation en mottes, en touffes, etc.)",,Övriga planteringsmetoder,"(inberäknat klimpplantering, knipplantering m.m.)",
232.43,1954,1992,,2016,1966,,232.4,,Spacing and arrangement in plantations,,,232.43,Istutusvälit ja taimien järjestus,,,232.43 ,Pflanzverbände,,,232.43,Espacement et disposition des plants,,,Planteringsförband,,
232.44,1954,1992,,2016,1966,,232.4,,Season and time of planting,,,232.44,Istutusajankohta,,,232.44 ,Pflanzzeit,,,232.44,Epoques de plantation,,,Planteringstid,,
232.49,1954,1992,,2016,1966,,232.4,,Miscellaneous,,,232.49,Sekalaista,,,232.49 ,Verschiedenes,,,232.49,Divers,,,Övrigt,,
232.5,1954,1992,,2016,1966,,232,,Artificial formation of stands by vegetative propagation ,(e.g. direct planting of unrooted cuttings),,232.5,Metsiköiden muodostaminen vegetatiivisen kasvun kautta,(esim. juurruttamattomien vartteiden istutus),,232.5 ,Künstliche Bestandesgründung durch vegetative Vermehrung ,(z.B. Pflanzung wurzelloser Steck-linge),,232.5,Création de peuplements artificiels par voie végétative ,(par ex. mise en terre directe de boutures),,Artificiell anläggning av bestånd. genom vegetativ förökning ,( t.ex. genom plantering av ej rotade sticklingar),
233,1954/1983,1992,1960,1985/2016,1966,,23,114.4|116|187|913/914,Afforestation (of particular types of land). ,(e.g. dunes)|(233* may be subdivided independently),"[Cross-reference, as appropriate, to subdivisions of 114.4, 116, or 187. For afforestation policy see 913/914]",233*,Metsitys,"(soiden, peltojen, autiomaiden, nummien jne. metsitys)",,233 *,(Neu-)Aufforstung (besonderer Standorte; z.B. Dünen) ,,"Kreuzverweise zu geeigneten Unterteilungen von 114.4, 116 oder 187. Aufforstungspolitik siehe 913/914]",233 *,Boisement (de types particuliers de terrains),,"[Renvoi, selon les cas, aux subdivisions de 114.4, 116 ou 187. Pour la politique de reboisement voir 913/914]",Skogsodling ,(på speciella ståndorter),"[Korshänvisning lämpligen till underavdelningar av 114.4, 116 eller 187; skogsodlingspolitik se 913/914]"
234,1954,1992,,2016,1966,,23,182.21,Formation of forest by natural succession. ,(234* domestic subdivisions are allowed),,234*,Metsän muodostuminen luonnollisen sukkession kautta,,,234*,Natürliche Waldausbreitung ,,,234*,Création de forêts par évolution naturelle,,,Uppkomst av skog genom naturlig succession,,[Jfr 182.21]
235,1954,1992,,2016,1966,,23,,"Underplanting, advance planting etc. Nurses and formation of mixtures",,,235,Istutus verhopuuston alle. Päällysmetsä ja sekametsien muodostaminen,,,235,"Unterbau, Vorbau usw. Vorwald. Pionierholzarten, Treibholzarten und Hilfsholzarten. Anlage von  Mischbeständen",,,235,"Plantation en sous-étage, plantation d'abri, etc. Espèces protectrices et création de peuplements mélangés",,,"Underplantering, hjälp- och skärmträd, förkultur. Anläggning av blandbestånd",,
235.1,1954,1992,,2016,1966,,235,,Underplanting,,,235.1,Istutus verhopuuston alle,,,235.1 ,Unterbau,,,235.1,Plantation en sous-étage,,,Underplantering,,
235.2,1954,1992,,2016,1966,,235,,"Planting in advance, shelterwoods and pioneer crops",,,235.2,"Istutus etukäteen, päällyspuut ja pioneerikasvit",,,235.2 ,"Vorbau, Vorwald, Schaffung eines Schirmes. Pionierholzarten",,,235.2,"Création de peuplement d'abri, utilisation d'espèces transitoires",,,"Förkultur, användning av artificiella skärmbestånd samt pionjärträd",,
235.4,1954,1992,,2016,1966,,235,,Nurses and auxiliary species,,,235.4,Päällyspuut ja lisälajit,,,235.4 ,"Treib- und Hilfsholzarten, Bodenschutzpflanzen",,,235.4,Espèces protectrices et auxiliaires,,,Användning av hjälpträd och andra hjälpande växter,,
235.41,1954,1992,,2016,1966,,235.4,,Trees,,,235.41,Puut,,,235.41 ,Bäume,,,235.41,Arbres,,,Träd,,
235.42,1954,1992,,2016,1966,,235.4,,Shrubs and cover crops,,,235.42,Pensaat ja peittokasvit,,,235.42 ,Sträucher und Bodenschutzpflanzen,,,235.42,Arbustes et plantes de couverture,,,Buskar och markskyddande kultur av andra växter,,
235.5,1954,1992,,2016,1966,,235,,Formation of (“long-term”) mixture,,,235.5,Pitkäaikasen sekakasvuston muodostus,,,235.5 ,Anlage von Mischbeständen (Dauer- und Zeitmischung),,,235.5,Création de peuplements mélangés (durables),,,Åstadkommande av bestående blandningar,,
235.6,1954,1992,,2016,1966,,235,,Interplanting (“enrichment”) of inferior growth with more valuable species,,,235.6,"Sekaviljely (""rikastamalla"") vähempiarvoista kasvu arvokkaammalla lajilla",,,235.6 ,Anreicherung geringwertiger Bestände mit wertvolleren Holzarten,,,235.6,Enrichissement en essences précieuses,,,Inblandning av särskilt värdefulla arter i bestånd av trädslag med lägre värde,,
235.9,1954,1992,,2016,1966,,235,,Miscellaneous,,,235.9,Sekalaista,,,235.9 ,Verschiedenes,,,235.9,Divers,,,Övrigt,,
236,1954,1992,,1985,1966,,23,,Care of regeneration or plantations in the initial stages of establishment,,,236,Taimikoiden hoito perustamisen alkuvaiheessa,,,236,Jungwuchspflege. Abstandsregulierung. ,,(Vgl. auch 241),236,Soins à donner à la régénération ou aux plantations dans les débuts,,,Plantskogsvård,,
236.1,1954,1992,,1985,1966,,236,,Weeding,,,236.1,Rikkakasvintorjunta,,,236.1 ,Unkraut- und Unholzbekämpfung,,,236.1,Désherbage,,,Ogräsrensning,,
236.2,1954/1983,1992,1960,2016,1966,,236,236.2,"Tending of the young crop itself, respacing ","(removal of plants or cutting back to improve growth and form, or for the regulation of mixtures etc. )",,236.2,"Taimien hoito, harventaminen ",(harventaminen poistamalla kasveja tai karsimalla niitä kasvun ja muodon parantamiseksi tai lajisekoituksen säätämiseksi jne.),,236.2 ,"Pflege der eigentlichen Jungwüchse, Abstandsregulierung (Vereinzelung, Mischwuchsregulierung, Vorwuchsbekämpfung, Pflegeschnitt usw. ",,,236.2,"Evolution spontanée des jeunes peuplements. Soins à donner au jeune peuplement mise à distance. Dépressage (enlèvement d'une partie du peuplement pour améliorer la croissance et la forme, ou pour régler la composition du mélange). Voir aussi 241",,,Vård berörande själva plantorna ,"(röjning, nedskärning m.m.)",[See also 236.2]
236.3,1954,1992,,2016,1966,,236,,Sheltering and shading,,,236.3,Suojaaminen ja varjostaminen,,,236.3 ,Beschirmung und Beschattung,,,236.3,Couverture et ombrage,,,"Skärm (mot vind, sno m.m.) och beskuggning",,
236.4,1954,1992,,1985,1966,,236,,Supervision. Regeneration surveys,(including inspection paths),,236.4,Taimikoiden tila. Taimikkoinventoinnit,(ml. tarkistuspolut),,236.4 ,Überwachung (einschl. Begangspfade). Kontrolle des Verjüngungserfolgs,,,236.4,Surveillance (y compris sentiers de ronde). Inventaire de la régénération,,,Plantinventering Tillsyn. Inventering av föryngringen,(inberäknat gångstigar till inspektion),
236.5,1954,1992,,1985,1966,,236,,Filling blanks (beating up),,,236.5,Täydennysviljely,,,236.5 ,Nachbesserungen,,,236.5,Remplacement des manquants (regarnis),,,Hjälpkultur,,
236.6,1954,1992,,2016,1966,,236,,Treatment of failed or partially failed plantations,,,236.6,Täysin tai osittain epäonnistuneiden taimikoiden käsittely,,,236.6 ,Behandlung ganz oder teilweise mißlungener oder lückiger Kulturen,,,236.6,Opérations à effectuer dans les plantations mal réussies ou partiellement manquées,,,Behandling av helt eller delvis misslyckade kulturer,,
236.9,1954,1992,,2016,1966,,236,,Miscellaneous,,,236.9,Sekalaista,,,236.9 ,Verschiedenes,,,236.9,Divers,,,Övrigt,,
237,1954,1992,,1985/2016,1966,,23,385|651.7,Amelioration of forest sites,,"[For engineering aspects see 385, and for economic aspects see 651.7]",237,Metsänparannus,"(maanmuokkaus, ojitus, lannoitus jne.)","[Teknologian näkökulmasta, katso 385; Taloudellisesta näkökulmasta, katso 651.7]",237,Verbesserung forstlicher Standorte ,,"ingenieurmäßige Gesichtspunkte siehe 385, wirtschaftliche Gesichts- punkte siehe 651.7]",237,Amélioration de la station,,"[Pour les aspects mécaniques, voir 385, et pour les aspects économiques, voir 651.7]",Ståndortsförbättring,,"[Tekniskt se 385, ekonomiskt se 651.7]"
237.1,1954,1992,,2016,1966,,237,,Ploughing or soil working,,,237.1,Metsänauraus ja maan käsittely,,,237.1 ,Bodenbearbeitung,,,237.1,Labour ou travail du sol,,,Markbearbetning,,
237.2,1954,1992,,2016,1966,,237,,Draining,,,237.2,Ojitus,(metsänojitus),,237.2 ,Entwässern,,,237.2,"Assainissement, drainage",,,Torrläggning,,
237.3,1954,1992,,2016,1966,,237,,Mounding and mulching,,,237.3,Mätästys ja kattaminen,,,237.3 ,"Aufhöhen (Rabattieren u.ä.) und Bodenbedeckung meist mit organischem Material, gegen Feuchtigkeits-verlust usw., Mulchen",,,237.3,"Formation de billons, paillage et apport de litière forestière",,,"Uppläggning av tiltor eller asar, täckning av marken (mulching)",,
237.4,1954/1983/1988,1992,1960,2016,1966,,237,,"Use of fertilizers, manures","( e.g. sewage sludge, composts of soil inoculations )","[Subdivide, if necessary, as 232.322.4]",237.4,Lannoitteiden käyttö,"(esim. jäteliete, kompostit ja maan ymppäys)",[Jaa tarvittaessa kuten 232.322.4],237.4 ,Verwendung von Düngemitteln ,"z.B. Klärschlamm, Kompost oder Bodenimpfung ",Unterteilung wie 232.322.4],237.4,"Utilisation d'engrais, fumiers, composts, boues résiduaires (ou inoculation du sol)",,[Subdiviser comme 232.322.4],"Gödsling (även kompost), ympning av marken.",,[Underindelning om sa erfordras som 232.322.4]
237.5,1954,1992,,2016,1966,,237,,Interplanting,,,237.5,Sekaviljely,,,237.5 ,Zwischenpflanzungen,,,237.5,Plantations intercalaires,,,Inplantering,,
237.51,1954,1992,,2016,1966,,237.5,,With substitute species,,,237.51,Sijaislajit,,,237.51 ,Mit Ersatzholzarten,,,237.51,Avec essences de substitution,,,Med ersättningsträd,,
237.52,1954,1992,,2016,1966,,237.5,,With nurses,,,237.52,Päällyspuut,,,237.52 ,Mit Hilfsholzarten,,,237.52,Avec essences de protection,,,Med hjälpträd,,
237.6,1954,1992,,2016,1966,,237,,Irrigation,,,237.6,Kastelu,,,237.6 ,Bewässerung,,,237.6,Irrigation,,,Bevattning,,
237.7,1988,1992,,2016,2016,,237,,Tools and equipment incl. mechanical methods,,,237.7,Työkalut ja välineet ml.  mekaaniset menetelmät,,,237.7 ,"Werkzeuge und Geräte, einschl. mechanische Methoden",,,237.7,"Outils et équipement, y compris moyens mécaniques",,,Verktyg och utrustning inkl. mekaniska metoder,,
237.9,1954,1992,,2016,1966,,237,,Miscellaneous, (including turf lifting),,237.9,Sekalaista,(ml.  mullan nosto),,237.9 ,Verschiedenes ,(einschl. “turf lifting” (Plaggenanheben)),,237.9,Divers,(y compris soulevage du gazon),,Övrigt," (inberäknat »turf lifting», d.v.s. lyftning av den planterade torvan i syfte att hava växthämning hos plantorna)",
238,1954/1983/1988,1992,1960,1985,1966,,23,,Timber plantation crops requiring special treatment. Biomass ,"(including intensive silviculture of plantations for extra rapid growth on short rotations, and information on species suitable for this purpose, e.g. poplar plantations, rootwood of Erica arborea etc.)  ","[Use for general matter on this topic, but reference individual operations under the appropriate heads, e.g.pruning under 245.1]",238,Lyhytkierto ym. erikoiskäsittelyä vaativat viljelmät. Biomassan tuotanto,"(ml. istutusmetsien tehometsänhoito nopean kasvun tai lyhttä kiertoa varten. Lajit, jotka sopivat tällaiseen kasvatukseen, esim. haapa, puukanerva, jne.)  ","[Metsänparannus metsäteknologian näkökulmasta, katso 385; Taloudellisesta näkökulmasta, katso 651.7; Hakkuualueen raivaus, katso 33]",238,"Baumanlagen, die eine besondere Behandlung erfordern. Biomasse. ","Einschl. plantagenmässiger Anbau und Schnellwuchsbetrieb sowie Angaben über dafür geeignete Baumarten. (z.B. Pappelpflanzungen, Wurzelholz von Erica arborea usw.)","(Nur für allgemeine Darstellungen über diesen Sachverhalt. Einzelmassnahmen sind jedoch in erster Linie mit den ihnen entsprechenden Nummern zu klassifizieren, z.B. bei Astung mit 245.1)].",238,Plantations de peuplements industriels nécessitant des traitements spéciaux. Biomasse,"(y compris la sylviculture intensive des essences à croissance rapide, en courte révolution, et les informations concernant ces espèces. Par ex. Peupliers, racines de bruyères, etc.)","Utiliser cette rubrique pour les généralités, mais renvoyer aux rubriques appropriées pour des opérations particulièr",Kulturbestånd fordrande speciell skötsel,(t.ex. poppel och Erica arborea för rotved. Inberäknat intensiv beståndsvård syftande till särskilt snabb tillväxt inom en kort omloppstid samt upplysningar om arter särskilt lämpade för detta ändamål),"[Används för allmänna frågor i detta ämne; beträffande speciella åtgärder hänvisas till passande avdelningar, t.ex. Stamkvistning till 245.1]"
239,1954,1992,,2016,1966,,23,,Miscellaneous,,,239,Sekalaista,,,239,Verschiedenes,,,239,Divers,,,Övrigt,,
24,1954,1992,,1966,1966,,2,,Tending of stands or trees,,,24,Metsiköiden ja puiden hoito,,,24,Bestandes- und Baumpflege,,,24,Soins culturaux aux peuplements et aux arbres,,,Beståmds- och individvård,,
241,1954/1983,1992,1960,1985,1966,,24,236.2,"Cleanings, precommercial thinning(s) and respacing. ",,,241,Taimikoiden perkaus. Ensiharvennus,,,241,"Säuberungen, Läuterungen, Vornutzungsdurchforstung(en) und Abstandsregulierung. ",,,241,"Nettoiements. Eclaircie précommerciale, dépressage (voir aussi 236.2)",,,Röjning,,[See also 236.2]
242,1954,1992,,1985,1966,,24,,Thinnings,(242* domestic subdivisions are allowed),,242*,Harvennushakkuut,,,242*,Durchforstungen,,,242*,Eclaircies,,,Gallring,,
243,1954,1992,,2016,1966,,24,,Opening of the canopy,"(increment fellings, overhead release and improvement fellings)",,243*,Latvuskerroksen avaaminen ,"(väljennyshakkuut, kunnostushakkuut jne.)",,243*,"Unterbrechung des Kronenschlusses (Lichtwuchs, femelartige Eingriffe u.a.)",,,243*,Interruption du couvert (éclaircies intensives avec interruption permanente du couvert et coupes d'amélioration),,,"Ljushuggning, friställning",,
243.8,1954,1992,,2016,1966,,243,,Girdling and poisoning,,,243.8,Kaulaaminen ja myrkytys,,,243.8 ,Ringeln. Anwendung von Giftstoffen,,,243.8,Annélation circulaire et empoisonnement,,,Ringbarkning och förgiftning,,
243.9,1954,1992,,2016,1966,,243,,Miscellaneous,,,243.9,Sekalaista,,,243.9 ,Verschiedenes,,,243.9,Divers,,,Övrigt,,
244,1954,1992,,2016,1966,,24,,Climber cutting etc.,,,244,Köynnösten leikkuu,,,244,Befreiung von Schling- und Kletterpflanzen,,,244,"Recépage, etc. de lianes et de plantes grimpantes",,,Borttagning av slingerväxter,,
245,1954,1992,,2016,1966,,24,,Tending of trees,,,245,Puiden hoito,,,245,Baumpflege,,,245,Soins culturaux aux arbres,,,Vård av träd,,
245.1,1954,1992,,1985/2016,2016,,245,,Pruning and brashing. Tree surgery,,,245.1,"Pystykarsinta, puukirurgia",,,245.1 ,Ästung. Heilung von Baumwunden. Konservierung von Bäumen,,,245.1,Elagage et émondage. Taille des arbres,,,"Uppkvistning, träkirurgi ","(stamkvistning och annan kvistning av stående trad). Underhåll av (särskilt värdefulla) träd m.m.; helande av sår, plombering m.m.",
245.11,1954,1992,,2016,1966,,245.1,,Brashing,,,245.11,Pystykarsinta,,,245.11 ,Grobe Aufastung zur Erleichterung der Begehung des Bestandes,,,245.11,Emondage,,,Uppkvistning för att bättra framkomligheten,,
245.12,1954,1992,,2016,1966,,245.1,,Dry pruning,,,245.12,Karsiminen,,,245.12 ,Trockenästung,,,245.12,Elagage des branches mortes,,,Torrkvistning,,
245.13,1954,1992,,2016,1966,,245.1,,Green pruning,,,245.13,"Karsiminen, tuoreiden oksien",,,245.13 ,Grünästung,,,245.13,Elagage des branches vertes,,,Grönkvistning,,
245.14,1954,1992,,2016,1966,,245.1,,Bud pruning,,,245.14,"Karsiminen, silmujen",,,245.14 ,Knospenästung,,,245.14,Ebourgeonnage,,,Knoppborttagning,,
245.17,1954,1992,,2016,1966,,245.1,,Pruning tools and equipment,,,245.17,Karsimistyökalut ja -laitteet,,,245.17 ,Ästungsgeräte,,,245.17,Outils et matériel d'élagage,,,Kvistningsredskap,,
245.18,1954,1992,,2016,1966,,245.1,,Tree surgery,,,245.18,Puukirurgia,,,245.18 ,Heilung von Baumwunden; Konservierung von Bäumen,,,245.18,Soins spéciaux pour les arbres,,,"Helande av sår, plombering m.m.",(träkirurgi),
245.19,1954,1992,,2016,1966,,245.1,,Miscellaneous,,,245.19,Sekalaista,,,245.19 ,Verschiedenes,,,245.19,Divers,,,Övrigt,,
245.9,1954,1992,,2016,1966,,245.1,,Miscellaneous,,,245.9,Sekalaista,,,245.9 ,Verschiedenes,,,245.9,Divers,,,Övrigt ,,
249,1954/1983,1992,1960,1985,1966,,24,,Miscellaneous ,"(e.g. control of undesirable undergrowth, including shrubs and coppice)",,249,Vesakontorjunta ym. ,(vesakontorjunta ja muu ei-toivotun aluskasvillisuuden torjunta),,249,Verschiedenes ,(z.B. Bekämpfung unerwünschten Unterwuchses einschl. Gebüsch und Stockausschlag),,249,"Divers, ",(y compris arbustes et taillis; par ex. destruction du sous-étage ou du sous-bois indésirable),,Övrigt ,"(t.ex. reglering av ej önskvärd underväxt, inberäknat buskar och stubbskott)",
25,1954,1992,,1966/1985,1966,,2,,"Treatment of defective, derelict or very open stands",,,25,"Viallisten, vajaatuottoisten ja harvapuustoisten metsiköiden käsittely",,,25,"Behandlung fehlerhafter, in der Pflege vernachlässigter oder verlichteter Bestände",,,25,"Traitement des peuplements incomplets, degradés ou très clairs",,,"Behandling av abnorma, försummade eller mycket glesa bestånd",,
26,1954/1983,1992,1960,1966/1985,1966,,2,,"Combinations of forestry with agriculture and pastoral husbandry, (agroforestry). Irrigated and floodland forests, shelterbelts etc., and their treatment",,,26,"Yhdistetty metsä-, maa- ja laiduntalous. Keinokastellut ja tulvamaiden metsät, tuulensuojavyöhykkeetjne. ja niiden käsittely",,,26,Verbindungen von Forst- und Landwirtschaft. (Agroforstwirtschaft). Bewässerte Waldungen und Auewald. Windschutzstreifen usw. und ihre Behandlung,,,26,"Equilibre agro-sylvo-pastoral (agroforesterie). Forêts irriguées ou inondables, rideaux boisés, etc. et leur traitement",,,"Kombination av skogsbruk med jordbruk och bete. Bevattnade skogar och översvämningsskogar, läbälten m.m. och deras skötsel",,
